Date,Trafic_EVP,Escales_Navires,Taux_Bons_Tresor,Cours_MSA_MAD
2020-01-01,76259,96,0.0369,227.89
2020-02-01,77512,100,0.0384,226.43
2020-03-01,87401,132,0.0379,230.67
2020-04-01,83948,123,0.0345,231.15
2020-05-01,86840,112,0.0406,231.57
2020-06-01,86580,130,0.0386,238.56
2020-07-01,74291,117,0.037,244.19
2020-08-01,72962,102,0.0375,249.76
2020-09-01,70040,88,0.0358,257.78
2020-10-01,69443,93,0.0342,259.39
2020-11-01,71425,100,0.0352,264.3
2020-12-01,75010,121,0.0388,264.25
2021-01-01,85281,117,0.0321,267.37
2021-02-01,92720,116,0.033,268.22
2021-03-01,93557,148,0.0324,270.2
2021-04-01,87548,124,0.0324,274.68
2021-05-01,91747,118,0.0397,272.09
2021-06-01,86529,115,0.0383,284.05
2021-07-01,83612,113,0.0363,280.52
2021-08-01,81710,110,0.0329,275.95
2021-09-01,74971,111,0.0364,283.24
2021-10-01,73750,111,0.0363,288.7
2021-11-01,73827,96,0.0336,293.32
2021-12-01,84697,111,0.0359,297.96
2022-01-01,89828,116,0.0356,299.4
2022-02-01,98503,125,0.0375,296.41
2022-03-01,92496,131,0.0377,298.29
2022-04-01,97675,139,0.0324,296.4
2022-05-01,99576,131,0.0354,302.78
2022-06-01,94868,129,0.0376,303.54
2022-07-01,89032,120,0.0365,300.92
2022-08-01,87907,115,0.0397,300.81
2022-09-01,82153,105,0.0379,304.37
2022-10-01,85794,128,0.0335,303.06
2022-11-01,82227,121,0.0326,300.44
2022-12-01,93084,150,0.0378,303.16
2023-01-01,95298,133,0.0322,305.89
2023-02-01,100162,164,0.0373,304.85
2023-03-01,105942,152,0.0405,304.0
2023-04-01,106426,150,0.0372,306.66
2023-05-01,100953,153,0.0355,300.92
2023-06-01,104384,145,0.0378,295.38
2023-07-01,98108,161,0.0361,293.29
2023-08-01,94295,155,0.0369,293.72
2023-09-01,92019,120,0.0405,296.78
2023-10-01,86793,129,0.0355,305.65
2023-11-01,91362,146,0.0407,311.44
2023-12-01,94249,133,0.0401,312.14
2024-01-01,102435,135,0.0338,313.55
2024-02-01,108798,169,0.0326,310.03
2024-03-01,110544,152,0.0329,311.44
2024-04-01,118636,192,0.0322,311.5
2024-05-01,111878,183,0.0328,314.61
2024-06-01,110081,155,0.0381,311.97
2024-07-01,105946,149,0.0326,316.07
2024-08-01,98507,135,0.0349,325.23
2024-09-01,96102,128,0.0396,326.19
2024-10-01,99737,125,0.0322,329.7
2024-11-01,97181,138,0.0393,334.65
2024-12-01,102315,153,0.0345,334.14
2025-01-01,110141,145,0.0331,336.76
2025-02-01,116987,178,0.0383,338.33
2025-03-01,117569,170,0.0377,340.32
2025-04-01,119084,193,0.0399,337.95
2025-05-01,125926,208,0.0386,339.57
2025-06-01,115166,145,0.0392,343.56
2025-07-01,107814,140,0.0345,352.32
2025-08-01,109244,147,0.0336,358.62
2025-09-01,101562,148,0.0388,370.88
2025-10-01,95613,150,0.0393,368.54
2025-11-01,99514,157,0.0409,374.41
2025-12-01,107757,165,0.0357,376.82
