Ship_ID,Inter_Arrival_Hours,Service_Hours
NAV-0001,2.71,65.56
NAV-0002,13.89,13.73
NAV-0003,87.53,16.27
NAV-0004,67.77,8.93
NAV-0005,23.13,67.13
NAV-0006,34.06,48.23
NAV-0007,13.71,47.48
NAV-0008,9.47,20.67
NAV-0009,23.6,8.37
NAV-0010,17.52,6.42
NAV-0011,31.35,58.92
NAV-0012,4.31,37.29
NAV-0013,103.31,41.84
NAV-0014,117.65,31.29
NAV-0015,40.68,14.83
NAV-0016,28.09,21.35
NAV-0017,15.3,12.16
NAV-0018,53.95,10.97
NAV-0019,39.45,45.83
NAV-0020,8.29,6.96
NAV-0021,73.06,12.22
NAV-0022,55.24,22.23
NAV-0023,87.23,27.91
NAV-0024,43.37,8.84
NAV-0025,33.55,34.58
NAV-0026,21.0,30.16
NAV-0027,80.06,58.31
NAV-0028,62.63,28.22
NAV-0029,2.7,36.83
NAV-0030,1.71,15.47
NAV-0031,18.73,15.96
NAV-0032,53.49,9.64
NAV-0033,119.49,15.58
NAV-0034,7.72,21.13
NAV-0035,32.11,54.85
NAV-0036,18.97,13.86
NAV-0037,99.5,85.28
NAV-0038,58.33,38.88
NAV-0039,57.71,34.02
NAV-0040,23.89,26.78
NAV-0041,20.81,23.49
NAV-0042,13.52,17.34
NAV-0043,3.26,8.53
NAV-0044,62.37,14.23
NAV-0045,53.83,67.03
NAV-0046,201.54,37.4
NAV-0047,149.16,66.67
NAV-0048,29.38,17.02
NAV-0049,48.12,11.88
NAV-0050,84.9,26.61
NAV-0051,59.62,14.63
NAV-0052,12.27,30.35
NAV-0053,22.83,7.06
NAV-0054,6.73,4.29
NAV-0055,89.38,33.18
NAV-0056,33.0,68.15
NAV-0057,11.38,34.13
NAV-0058,38.29,37.16
NAV-0059,33.91,27.37
NAV-0060,17.77,29.11
NAV-0061,6.0,8.17
NAV-0062,38.28,15.05
NAV-0063,27.07,54.52
NAV-0064,48.52,20.8
NAV-0065,27.06,53.85
NAV-0066,60.06,28.58
NAV-0067,29.14,29.54
NAV-0068,29.76,20.91
NAV-0069,64.76,40.62
NAV-0070,20.19,46.82
NAV-0071,6.96,14.44
NAV-0072,1.84,8.86
NAV-0073,46.52,5.18
NAV-0074,34.08,36.04
NAV-0075,41.24,33.49
NAV-0076,10.64,99.57
NAV-0077,7.07,27.47
NAV-0078,1.04,24.29
NAV-0079,17.38,31.01
NAV-0080,31.8,32.11
NAV-0081,19.58,23.03
NAV-0082,22.08,14.81
NAV-0083,71.21,26.5
NAV-0084,17.26,25.84
NAV-0085,26.67,25.56
NAV-0086,49.91,43.28
NAV-0087,19.81,26.18
NAV-0088,34.21,9.03
NAV-0089,61.92,16.65
NAV-0090,87.1,22.84
NAV-0091,7.56,27.01
NAV-0092,77.89,36.52
NAV-0093,25.3,27.16
NAV-0094,12.79,4.39
NAV-0095,23.33,9.95
NAV-0096,109.12,38.1
NAV-0097,25.33,22.41
NAV-0098,16.26,28.72
NAV-0099,35.1,20.49
NAV-0100,11.92,16.6
NAV-0101,4.22,21.01
NAV-0102,6.72,28.94
NAV-0103,6.68,26.05
NAV-0104,7.79,46.64
NAV-0105,7.18,7.6
NAV-0106,35.7,8.56
NAV-0107,9.18,22.23
NAV-0108,17.13,36.78
NAV-0109,69.33,41.85
NAV-0110,24.2,17.09
NAV-0111,37.93,1.83
NAV-0112,8.74,17.5
NAV-0113,9.67,33.55
NAV-0114,2.48,25.73
NAV-0115,8.58,37.63
NAV-0116,13.77,53.38
NAV-0117,8.96,23.3
NAV-0118,4.83,18.93
NAV-0119,6.33,13.29
NAV-0120,23.42,8.52
NAV-0121,10.32,6.64
NAV-0122,18.09,15.88
NAV-0123,26.0,49.03
NAV-0124,39.96,39.91
NAV-0125,2.4,18.3
NAV-0126,51.96,85.75
NAV-0127,34.67,16.7
NAV-0128,4.5,56.44
NAV-0129,64.13,64.48
NAV-0130,76.03,35.0
NAV-0131,3.5,15.77
NAV-0132,13.69,20.07
NAV-0133,52.88,29.4
NAV-0134,45.76,8.73
NAV-0135,9.31,12.34
NAV-0136,10.47,11.55
NAV-0137,18.42,36.68
NAV-0138,24.84,53.07
NAV-0139,33.92,40.88
NAV-0140,18.33,47.86
NAV-0141,23.53,14.79
NAV-0142,45.67,20.71
NAV-0143,2.26,21.82
NAV-0144,12.51,34.91
NAV-0145,42.14,16.21
NAV-0146,68.94,46.07
NAV-0147,26.52,63.42
NAV-0148,27.83,36.04
NAV-0149,5.7,20.07
NAV-0150,22.65,13.82
NAV-0151,27.86,11.57
NAV-0152,12.03,4.44
NAV-0153,13.32,22.28
NAV-0154,18.78,21.41
NAV-0155,1.36,44.35
NAV-0156,15.93,17.0
NAV-0157,10.57,23.16
NAV-0158,16.2,31.32
NAV-0159,6.29,35.67
NAV-0160,67.83,41.26
NAV-0161,32.07,29.33
NAV-0162,38.94,9.16
NAV-0163,50.61,33.72
NAV-0164,25.69,16.11
NAV-0165,4.75,54.58
NAV-0166,28.16,26.38
NAV-0167,31.58,30.49
NAV-0168,45.45,104.35
NAV-0169,21.75,41.71
NAV-0170,6.66,33.33
NAV-0171,14.03,23.63
NAV-0172,18.03,9.82
NAV-0173,36.11,22.48
NAV-0174,30.44,13.68
NAV-0175,17.67,68.06
NAV-0176,118.16,33.61
NAV-0177,32.97,53.38
NAV-0178,11.78,16.65
NAV-0179,5.45,14.45
NAV-0180,7.83,39.21
NAV-0181,12.2,13.26
NAV-0182,8.2,19.01
NAV-0183,9.4,69.99
NAV-0184,14.09,19.56
NAV-0185,8.79,8.13
NAV-0186,69.32,5.65
NAV-0187,4.43,7.29
NAV-0188,27.34,55.29
NAV-0189,20.57,17.42
NAV-0190,112.01,102.42
NAV-0191,5.93,63.86
NAV-0192,19.88,79.97
NAV-0193,99.16,48.61
NAV-0194,62.53,37.93
NAV-0195,54.43,14.06
NAV-0196,12.77,25.94
NAV-0197,8.67,40.34
NAV-0198,38.02,46.79
NAV-0199,78.85,10.6
NAV-0200,29.47,22.73
NAV-0201,30.5,24.57
NAV-0202,13.84,23.91
NAV-0203,48.18,11.78
NAV-0204,9.42,74.42
NAV-0205,16.01,22.2
NAV-0206,21.4,12.47
NAV-0207,26.26,75.52
NAV-0208,12.03,63.9
NAV-0209,6.06,28.57
NAV-0210,33.34,18.61
NAV-0211,14.26,6.78
NAV-0212,31.18,36.17
NAV-0213,7.9,17.68
NAV-0214,24.64,25.52
NAV-0215,27.86,71.55
NAV-0216,3.04,16.75
NAV-0217,16.66,35.19
NAV-0218,6.98,42.01
NAV-0219,3.61,54.25
NAV-0220,124.87,24.27
NAV-0221,15.94,22.57
NAV-0222,53.4,22.2
NAV-0223,12.62,33.04
NAV-0224,39.16,62.28
NAV-0225,47.1,21.5
NAV-0226,32.22,2.39
NAV-0227,24.06,44.95
NAV-0228,20.65,27.2
NAV-0229,17.29,36.22
NAV-0230,78.91,7.01
NAV-0231,56.48,17.73
NAV-0232,95.93,42.7
NAV-0233,6.5,9.54
NAV-0234,43.9,35.14
NAV-0235,82.21,25.38
NAV-0236,9.15,15.06
NAV-0237,3.76,14.15
NAV-0238,44.98,11.87
NAV-0239,30.7,27.1
NAV-0240,58.28,29.24
NAV-0241,7.22,20.04
NAV-0242,51.4,11.29
NAV-0243,10.1,34.5
NAV-0244,8.33,45.46
NAV-0245,8.36,38.54
NAV-0246,54.07,81.91
NAV-0247,37.73,22.9
NAV-0248,27.24,58.63
NAV-0249,17.81,16.18
NAV-0250,64.88,14.28
NAV-0251,19.59,28.23
NAV-0252,54.36,66.55
NAV-0253,22.17,21.18
NAV-0254,18.76,7.01
NAV-0255,23.54,44.93
NAV-0256,14.89,24.65
NAV-0257,45.69,31.64
NAV-0258,25.96,14.85
NAV-0259,11.55,28.05
NAV-0260,70.02,7.97
NAV-0261,19.13,75.11
NAV-0262,28.58,50.12
NAV-0263,71.83,27.22
NAV-0264,34.38,44.16
NAV-0265,6.16,16.21
NAV-0266,82.81,48.77
NAV-0267,34.65,20.52
NAV-0268,16.58,19.5
NAV-0269,7.2,12.52
NAV-0270,51.24,34.22
NAV-0271,34.06,26.43
NAV-0272,27.92,59.77
NAV-0273,68.62,11.39
NAV-0274,50.54,34.32
NAV-0275,7.78,53.12
NAV-0276,15.41,29.59
NAV-0277,12.32,20.25
NAV-0278,45.29,29.09
NAV-0279,2.1,56.91
NAV-0280,30.38,56.89
NAV-0281,47.36,23.97
NAV-0282,64.79,56.3
NAV-0283,16.94,25.6
NAV-0284,55.05,43.85
NAV-0285,5.87,36.9
NAV-0286,59.06,19.68
NAV-0287,6.65,12.87
NAV-0288,19.85,53.97
NAV-0289,51.67,63.19
NAV-0290,7.7,33.8
NAV-0291,11.4,25.57
NAV-0292,43.02,10.24
NAV-0293,42.8,53.13
NAV-0294,35.72,31.33
NAV-0295,40.29,21.69
NAV-0296,28.53,44.63
NAV-0297,12.48,8.74
NAV-0298,17.13,12.03
NAV-0299,9.17,15.77
NAV-0300,72.37,36.17
NAV-0301,31.33,29.3
NAV-0302,20.04,38.9
NAV-0303,23.5,50.94
NAV-0304,86.04,39.78
NAV-0305,7.86,76.07
NAV-0306,31.54,50.87
NAV-0307,26.16,23.93
NAV-0308,33.4,17.64
NAV-0309,1.25,24.43
NAV-0310,63.83,40.65
NAV-0311,79.84,19.04
NAV-0312,30.05,41.36
NAV-0313,40.54,38.45
NAV-0314,76.54,12.73
NAV-0315,41.54,50.29
NAV-0316,7.82,33.04
NAV-0317,30.83,73.86
NAV-0318,33.04,25.66
NAV-0319,21.33,21.0
NAV-0320,44.49,11.48
NAV-0321,80.67,11.33
NAV-0322,77.55,46.66
NAV-0323,22.85,69.43
NAV-0324,5.99,24.2
NAV-0325,115.48,23.13
NAV-0326,57.8,27.26
NAV-0327,6.52,52.4
NAV-0328,76.02,12.82
NAV-0329,63.39,30.44
NAV-0330,26.97,47.31
NAV-0331,31.9,35.89
NAV-0332,19.94,1.52
NAV-0333,3.18,39.91
NAV-0334,16.59,36.12
NAV-0335,52.42,58.59
NAV-0336,0.4,66.14
NAV-0337,16.5,56.83
NAV-0338,19.9,27.36
NAV-0339,28.18,6.73
NAV-0340,75.71,23.02
NAV-0341,17.16,26.78
NAV-0342,17.19,68.9
NAV-0343,44.6,14.97
NAV-0344,22.93,8.96
NAV-0345,11.19,19.13
NAV-0346,22.94,15.59
NAV-0347,7.28,8.23
NAV-0348,8.93,24.56
NAV-0349,25.69,27.48
NAV-0350,21.04,7.82
NAV-0351,74.19,20.91
NAV-0352,17.99,14.85
NAV-0353,31.13,28.09
NAV-0354,35.01,29.95
NAV-0355,0.95,14.85
NAV-0356,37.58,50.01
NAV-0357,9.0,26.38
NAV-0358,93.37,15.39
NAV-0359,7.64,7.38
NAV-0360,20.8,31.01
NAV-0361,4.67,36.06
NAV-0362,150.75,18.37
NAV-0363,25.92,28.68
NAV-0364,32.2,66.14
NAV-0365,3.79,45.28
NAV-0366,45.95,3.5
NAV-0367,10.49,15.25
NAV-0368,69.64,23.75
NAV-0369,10.27,27.38
NAV-0370,9.59,29.09
NAV-0371,2.26,34.61
NAV-0372,24.09,24.3
NAV-0373,30.03,26.33
NAV-0374,3.72,46.73
NAV-0375,48.91,31.41
NAV-0376,22.99,10.58
NAV-0377,27.33,27.97
NAV-0378,22.27,23.8
NAV-0379,20.04,4.91
NAV-0380,29.67,28.93
NAV-0381,7.94,11.74
NAV-0382,9.18,47.16
NAV-0383,61.82,34.3
NAV-0384,85.51,10.1
NAV-0385,18.57,45.85
NAV-0386,13.39,59.17
NAV-0387,35.95,21.83
NAV-0388,20.47,23.7
NAV-0389,1.66,43.11
NAV-0390,7.99,56.51
NAV-0391,42.4,6.3
NAV-0392,37.19,11.1
NAV-0393,1.75,19.4
NAV-0394,11.06,20.93
NAV-0395,11.49,42.35
NAV-0396,38.31,56.69
NAV-0397,1.34,59.27
NAV-0398,5.56,6.16
NAV-0399,52.02,14.21
NAV-0400,9.03,16.88
NAV-0401,36.67,14.16
NAV-0402,11.83,34.23
NAV-0403,5.34,36.89
NAV-0404,12.07,26.11
